\STAR_ID='HD 32147'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='96'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453304.08245'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456637.00912'
\MINIMUM_VALUE='-12.1372742935'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='8.87811077599'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2453304.08245   -4.8628575833                   0.5922524 
 2453339.90378 -0.202825099417                   0.5170146 
 2453368.95848  -2.59937309011                   0.5014039 
 2453425.71004   -1.7735374626                   0.4888325 
 2453692.94107  -4.82243399284                    0.471776 
 2453693.04636  -6.15590680396                   0.4818463 
  2453694.1081   -4.4275175037                   0.4845443 
  2453694.9502  -6.66445511135                    0.498389 
 2453695.97326  -6.63856039087                   0.4730352 
 2453696.11185  -4.56811669263                   0.5094729 
 2453696.96347  -5.41125453393                   0.5002962 
 2453724.94089  -2.79141114656                   0.5187135 
 2453776.86363  -3.25713565743                   0.4964671 
 2453982.09889  -3.61633193376                    0.424149 
 2454084.03965  -1.29222722216                   0.5679348 
 2454138.86682  -3.93295911687                   0.5212981 
 2454344.13433  0.220438618531                   0.8044473 
 2454398.06099  -5.91733664399                    0.937543 
 2454430.02726 -0.777662671378                   0.9665434 
 2454454.98345  -1.67884097989                   1.0004752 
 2454456.03178  -1.61036552268                   0.9847466 
  2454459.0356  -1.73182294642                   1.0524559 
 2454460.81818 -0.245148484151                   1.0384123 
 2454461.89874  -1.99269112911                   0.8246623 
 2454544.79759  -2.75244371884                   1.0678051 
 2454546.73495 0.0110447929501                   1.0190158 
 2454721.14639 -0.716350849518                   0.9265453 
 2454777.96009   1.67721689572                   0.5966517 
  2454778.9954   1.71372409073                   0.5923941 
 2454780.04158   1.85350195175                   0.5829803 
 2454805.91347  -2.41441899224                   0.9002838 
 2454806.96228  0.386206344399                    1.172822 
 2454807.91314  -4.39385857669                   0.9433791 
 2454808.95625  -3.63019331814                    0.916946 
 2454810.90943  -3.51315807787                   0.8945385 
 2454839.01268   2.07467931226                   0.6451997 
 2454864.96147  -2.17618383835                   0.6337199 
 2454928.72175 -0.233525170412                   0.5862469 
 2455075.12916  -0.86817090575                    0.515564 
  2455076.1177 -0.285837952067                   0.5040235 
 2455077.11475  -1.07634803953                   0.5003408 
 2455078.12421  0.775697188623                   0.5219764 
 2455083.12152  -3.01036432576                   0.5193929 
  2455085.0913  -4.18921730312                   0.4753732 
 2455111.05669   8.87811077599                   1.6894892 
 2455136.12158    0.7682542896                   1.5533708 
 2455172.93474 -0.784905124728                   0.5940977 
 2455188.94668  -0.57661153815                   0.5909805 
 2455196.80934  -2.72912804948                   0.5252165 
 2455229.92567 0.0195589330791                   0.5892487 
 2455231.95134  -1.96762105897                    0.596491 
  2455255.7456  -3.27226283027                   0.5150084 
 2455260.76214 -0.193731272278                   0.5500206 
 2455261.71115  0.722160167774                   0.9632916 
 2455285.77373   0.93415035678                   0.6135573 
 2455427.14196  -2.45140006006                   0.4629481 
 2455428.14113  -2.04462260445                   0.4859037 
 2455432.14512   0.17503479677                   0.5331939 
 2455433.14532  -3.91799533564                   0.4609174 
 2455434.14304  -2.72570455128                   0.5088132 
 2455435.14021  -1.04310705608                   0.4856976 
 2455436.13763  -3.93740858549                   0.5152708 
 2455437.14492  -1.31467782463                   0.4904405 
 2455438.14442  -4.19374407683                    0.461208 
 2455439.14133   -2.4948519274                   0.5194412 
 2455440.14526  -3.32691760305                   0.4777326 
 2455456.04259 -0.849055032948                   0.5319157 
 2455471.11651   4.36716888576                   0.1988913 
 2455472.10776 -0.916730129554                   0.1581221 
 2455487.10346  -4.45183658331                   0.5022705 
 2455489.99175  -3.58839246221                   0.6037912 
 2455490.98031  -5.48809728578                   0.5211738 
 2455500.98301 -0.604448388483                   0.5334079 
 2455521.96983  -2.08317956119                   0.5758858 
 2455522.94089  -2.99307464974                   0.5574857 
 2455542.94893  -3.55468916956                   0.5645612 
 2455546.05786  -3.39722121013                   0.6576141 
 2455555.89368  0.248482373107                   0.6496311 
 2455556.97722  -2.81899978836                   0.5735866 
 2455584.92331  -1.25879043549                   0.5852119 
 2455792.13436   -6.9702717527                   0.9014646 
 2455793.13888   -4.7846857422                   0.8141549 
 2455795.14164  -8.60268817967                   0.9469355 
 2455796.13589  -5.24371676886                   0.8575488 
 2455797.13732   -3.6493029649                   0.8771639 
 2455798.14265  -4.84886103238                   0.9196649 
 2455799.13642  -4.79641253433                   0.8238949 
 2455809.13725  -4.08012532509                   0.8632989 
 2455871.02334  -2.71746293881                   0.5996711 
 2455902.01375  -4.92809116948                   0.5529519 
 2456018.71608  -3.99634137909                   1.0585929 
 2456165.14178  -5.75726970627                   0.5415143 
 2456174.15118   -2.9161778592                   0.5835829 
 2456520.14061  -6.42173640092                   0.9404658 
 2456589.16305  -12.1372742935                   1.0505881 
 2456637.00912  -4.69918397625                   0.5691434 
