\STAR_ID='HD 109358'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='69'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453399.03728'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456849.73332'
\MINIMUM_VALUE='-12.0345810663'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='4.89474207472'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2453399.03728  -1.40750284596                    0.668043 
 2453480.77397   -1.4785831187                     0.64384 
 2453551.81756 -0.445049615338                   0.4754338 
 2453725.16026  -2.58887885925                   0.8399076 
 2453747.10663  -1.02770315499                   0.6469146 
 2453748.06423  -2.05982305395                   0.7025526 
  2453753.1001   2.59448087326                   0.6252156 
 2453754.05711   1.26419012125                   0.6727719 
  2453776.0991   0.10120790339                   0.6491769 
 2453777.01794   2.14783803559                   0.6824729 
 2453807.00482   3.90787623125                   0.7123479 
 2454085.10952   2.72730161504                   0.7311376 
 2454633.81778  -2.31803390407                   1.1984018 
 2454634.82565   3.14196786667                   1.0385329 
 2454635.82264   4.89474207472                    1.162017 
  2454636.8609  0.250219610078                   1.1239408 
 2454637.82311   3.54294297876                   0.9977132 
 2454638.78278   2.41113165427                   1.0813768 
  2454639.8291  0.672995140384                   1.2672873 
 2454640.82697   3.22638411266                   1.2982633 
 2454641.80249   -2.1815209607                   1.1181148 
 2454643.84465  0.297705116518                   1.1439818 
 2454806.16798  -1.02879628825                   1.3353978 
 2454807.15779  -1.05733911237                   1.3396204 
 2454839.15291  -6.51142855952                   1.3042347 
 2454865.09669  -2.24811006167                   1.3093398 
 2454866.11641 -0.991443626631                   1.7110119 
  2454867.9668   4.46583605674                    1.172424 
 2454927.02236  -2.42493384131                   1.5256202 
 2454927.86435  -5.08923379899                   0.8741177 
 2454929.88288  -3.87615413445                   1.0441955 
 2455016.86995 -0.617888899682                   1.0864118 
 2455041.75001   1.62722082057                   1.3651105 
 2455042.73457  -3.26129562586                   1.6028965 
 2455043.73911  -5.29701934706                   1.6390374 
 2455044.73149  0.780624454356                   1.4000779 
 2455048.73504 -0.486696532497                   1.7074641 
 2455173.16617   1.17086841659                   1.3030736 
 2455189.16273   3.71466408617                   1.3333328 
 2455190.17816  -3.19926269811                   1.3483492 
 2455232.18441  -12.0345810663                   1.3175932 
  2455314.8311  0.018032738683                   1.7777959 
 2455350.73403  -2.22281655119                   1.0639666 
 2455404.73015  -5.61775202962                   1.2515786 
 2455410.72997  -5.38582975386                   1.2550147 
 2455411.72939   -4.2111026232                   1.2729564 
 2455412.72869  -4.10620442246                   1.2072631 
 2455543.13949  -4.31744573256                   0.7721276 
 2455545.17211   1.39161302118                   1.4060588 
 2455546.17906  -8.34448099413                   1.2886096 
 2455704.73299  -4.88999566945                   1.1044312 
 2455705.73056   -3.3444623198                    1.118346 
  2455728.8055  -1.73124088598                   0.5007074 
 2455731.83138 -0.579495082138                   0.7405522 
 2455733.85456  -3.66731250928                   0.6949655 
 2455734.76101  -2.84342296554                   0.6406252 
 2455973.17885   1.23551752826                   1.3681579 
 2455992.17733   1.28758174473                   1.5823578 
 2455992.99407 -0.450936660311                   0.9354394 
 2455994.98377 -0.850335811317                   1.5250139 
 2456110.73476  -3.38143107361                   1.1794831 
 2456482.73446  -1.27401489814                   1.0393356 
 2456484.73394 -0.160767220055                   1.1760142 
 2456638.16939   2.65685740885                   1.3004696 
 2456843.74129 0.0298994326759                   1.1090695 
 2456844.72898 -0.522899931498                   1.1339058 
 2456845.73415 -0.330021019844                   1.2209401 
 2456848.73362  -3.98686442743                   1.4156374 
 2456849.73332   3.75584217302                    1.254477 
