\STAR_ID                                  = "Gamma 1 Leo"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "205"
\TIME_REFERENCE_FRAME                     = "HJD"
\MINIMUM_DATE                             = "2452776.107091"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2454971.053095"
\MINIMUM_VALUE                            = "-90.50"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "455.70"
\REFERENCE                                = "Han et al. 2010 (A&A, 509, 24)"
\BIBCODE                                  = "2010A&A...509A..24H"
\TELESCOPE                                = "1.8m"
\INSTRUMENT                               = "BOES"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Iodine"
\OBSERVATORY_SITE                         = "Bohyunsan Optical Astronomy Observatory (BOAO), Korea"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|            HJD | Radial_Velocity | Radial_Velocity_Uncertainty |
|         double |          double |                      double |
|           days |             m/s |                         m/s |
  2454388.355730            320.20                          7.40
  2454389.372500            356.60                          6.30
  2454389.376540            354.30                          5.70
  2454389.380649            355.90                          6.40
  2454390.370681            285.90                          5.70
  2454390.374732            290.70                          5.90
  2454396.375832            334.20                          7.30
  2454396.379687            337.80                          6.40
  2454426.380085            352.10                          6.30
  2454426.381393            349.20                          6.00
  2454426.382551            354.70                          6.50
  2454452.404499            382.60                          5.70
  2454452.406304            388.80                          6.70
  2454458.354959            280.50                          6.80
  2454458.357147            284.90                          6.80
  2454470.216053            336.00                          5.90
  2454470.219259            325.70                          6.20
  2454470.222465            328.70                          6.20
  2454470.225671            339.00                          6.40
  2454472.224505            322.00                          5.80
  2454472.227190            317.20                          9.30
  2454472.229875            322.60                          5.70
  2454472.233429            308.00                          9.00
  2454483.168020            208.10                          5.40
  2454483.170358            210.90                          5.50
  2454483.172175            214.90                          5.40
  2454483.174340            216.70                          5.50
  2454505.177577            217.40                          8.20
  2454506.201658            273.60                          6.00
  2454506.203452            276.50                          6.00
  2454506.205327            277.90                          5.60
  2454506.207653            270.30                          6.30
  2454516.250170            231.30                          5.80
  2454516.253353            229.40                          6.20
  2454536.133769            151.10                          5.70
  2454536.135667            150.70                          5.80
  2454536.137437            156.90                          6.00
  2454536.139000            152.40                          5.70
  2454537.181626            214.80                          6.80
  2454537.184138            202.70                          7.40
  2454537.187795            213.00                          5.90
  2454537.191799            208.60                          6.40
  2454549.967591            120.70                          6.30
  2454549.970403            121.10                          5.80
  2454550.959573            142.80                          5.30
  2454550.962675            139.00                          5.90
  2454550.966297            142.70                          5.40
  2454551.954656             64.10                          8.20
  2454551.957538             72.00                          6.90
  2454551.960744             71.10                          7.20
  2454551.963672             74.60                          6.70
  2454551.967016             65.90                          6.60
  2454551.969944             63.90                          6.80
  2454575.020263             24.60                          6.10
  2454575.022323             18.90                          5.40
  2454575.024556             27.30                          6.00
  2454575.026882             17.70                          5.80
  2454618.043283            -14.30                          5.50
  2454618.045169            -11.90                          6.20
