\STAR_ID='HD 185144'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='229'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453237.75286'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456847.87141'
\MINIMUM_VALUE='-6.69489726375'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='4.65386042679'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2453237.75286   1.57194594722                    0.149051 
 2453238.84618   2.38002988174                   0.3507822 
 2453239.86684   1.81262386907                   0.3549176 
  2453240.9022   3.02151541389                   0.3299093 
 2453301.68571     1.244201956                   0.7115923 
 2453302.79139 -0.750354402982                   0.6949242 
 2453303.72859 -0.312474514129                   0.9390007 
 2453338.67913   1.05297400958                    0.538735 
 2453339.69729  -1.04606153778                   1.1233891 
 2453479.14503  0.285394253737                   0.7362758 
 2453480.10659   1.76886710203                   0.6076191 
 2453547.10656  0.654406889779                   0.3761151 
 2453548.04101  0.610969492958                   0.3900372 
 2453549.11792 0.0864891587734                   0.4848663 
 2453550.01262   1.89969763611                   0.3571638 
 2453552.01651  -2.89801356662                   0.4491977 
 2453570.89096  -1.21882375578                   0.5299795 
 2453602.93305   1.78611936678                    0.404081 
 2453603.72391   1.76138407132                   0.4763134 
 2453604.90951    1.8606931478                   0.5005652 
 2453693.69591   0.49182019794                   0.6361666 
 2453694.68359  -1.49035363423                   0.5538859 
 2453695.68274 -0.539156191073                   0.7526159 
 2453696.68239  0.184108921778                   0.5810472 
 2453926.00607   2.36368429287                   0.5160176 
 2453926.88372   1.90415929646                   0.5077001 
 2453927.90288   2.97367958058                   0.5200821 
 2453931.03051  0.546915940759                   0.4113556 
 2453931.98752  0.344720409528                   0.5143477 
  2453932.8849  0.825869023853                   0.5287778 
 2453934.89762   2.07921291215                    0.523971 
 2453960.88334   2.81355214495                   0.4806223 
 2453961.89241   3.69056492339                   0.4853665 
 2453968.97517  0.732122828347                   0.4746609 
 2453981.81211   1.00264843194                   0.4646507 
 2453982.90914  -1.42907049093                   0.4536387 
 2453983.80746    1.5396305628                   0.4475794 
 2453984.91425 -0.885155094631                   0.4605621 
  2454085.7305    3.0475416473                   0.5472683 
   2454247.129   1.56730070802                   0.6633762 
 2454248.07656   1.58397983765                   0.6532909 
 2454249.10731   1.18361021976                   0.5075871 
 2454250.02976  -2.34143554208                   0.5028681 
 2454252.07542   1.41491253276                   0.4963074 
  2454256.0509   3.33524297289                   0.6546242 
 2454279.01443  -1.14794724923                   0.5207714 
 2454285.93558     0.412198315                   0.5799826 
 2454295.00686    2.2857244193                   0.5860124 
 2454305.04738  0.596997824617                   0.6404288 
 2454306.03199  0.886870658797                   0.5720896 
 2454307.04646  0.296020126981                   0.5948806 
 2454308.09516  0.283675727891                   0.5391908 
 2454309.07709  -0.20006096547                   0.5494315 
 2454310.07052  0.846020429473                   0.5107536 
 2454311.05198   2.05138977882                   0.5260872 
 2454312.04515   2.07789972613                   0.5881865 
 2454313.03865 -0.588775624616                   0.5880099 
 2454314.02164  0.226032874247                   0.5517183 
 2454315.07595  0.115721278191                   0.5650035 
 2454318.88716   4.65386042679                    0.507173 
   2454335.902  0.808786295941                   0.4963442 
 2454338.96876  -1.53916716774                   0.4601706 
 2454339.90599  -1.22447048474                   0.5289919 
 2454343.82475   1.01781977632                   0.4896225 
 2454396.74143   1.59640367115                   0.6359642 
 2454397.77263  -1.27096349607                   0.6777138 
 2454398.77021 -0.789244511785                   0.6818407 
 2454546.14598 -0.318036972385                   0.7332833 
 2454547.15234   2.10707471671                   0.5278925 
 2454548.14613   2.14874923358                   0.7995664 
 2454549.12586  0.492413585658                    1.252607 
 2454602.97389  0.329823239288                   1.0743246 
 2454603.98124   1.14185500142                   1.0660764 
