\STAR_ID='HD 10700'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='191'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453238.08787'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456896.14707'
\MINIMUM_VALUE='-21.0915743834'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='9.97780377371'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD| Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|          double|                     double|
|         days|           m / s|                      m / s|
|         null|            null|                       null|
 2453238.08787   -4.41955508023                   0.6784117 
 2453239.13966   -5.63086788456                   0.6492193 
 2453239.97793   -5.41512459069                   0.6687996 
 2453241.02653   -4.28536234362                   0.7622752 
 2453301.80215   -1.15093277719                   0.5496365 
 2453302.83642   -3.46603424184                   0.7080209 
 2453303.89647   -4.62843962837                   0.8027353 
 2453338.75977    -1.5383291266                   0.5408397 
 2453339.77058   0.897486787489                   0.6469849 
 2453368.83585   -3.60272928748                   0.5763971 
 2453369.75769   -2.57861259762                   0.5044591 
 2453370.72344   -2.81590831972                   0.6018581 
 2453397.73262    1.03506517357                   0.5815634 
 2453398.73928    1.49429140032                   0.5350885 
 2453399.70452    1.97340936215                    0.535075 
 2453400.71615    1.39759550681                    0.607776 
 2453425.74726   -1.13578464834                   0.6192631 
 2453426.70933   -3.02306132824                   0.6057158 
 2453427.70776   0.869312008686                   0.5957416 
 2453550.12965  -0.527379807828                   0.4578039 
 2453551.13481   -2.12806658989                   0.5284196 
 2453552.13079   -2.92530568003                   0.5854906 
 2453571.12416   -2.58288524503                   0.5819952 
 2453603.09483   -2.95725718701                   0.6227028 
 2453604.09544    9.97780377371                   0.7274033 
 2453605.10613   -3.49232236657                   0.5761355 
 2453692.90047   -1.60636995781                   0.4748902 
 2453693.84204   -2.20284550442                   0.6151827 
 2453693.98621  -0.289471113571                   0.5894195 
 2453694.78226   0.367103723041                   0.6057256 
 2453695.73727  -0.257379056924                   0.4859068 
 2453695.82544  -0.609525240898                    0.680741 
 2453696.88884   -1.84405210686                   0.4895598 
 2453723.83657    2.54151934147                   0.5749788 
 2453724.78283    2.54356590323                   0.4910717 
 2453746.86353   -3.01908599193                   0.4888129 
 2453747.77982   -3.45573585728                   0.6078563 
 2453748.72199   -2.93805721106                   0.5901198 
 2453749.72324   -1.44850956679                   0.5629016 
 2453750.70965   -1.65355635074                   0.4456407 
 2453751.71642   0.163441334939                   0.4323585 
 2453752.72301    -1.6067177037                   0.5615972 
 2453753.72361   -3.36460899385                   0.5188838 
 2453775.71275    1.68455556861                   0.5826506 
 2453776.71882  -0.550632509808                    0.613059 
 2453777.71542  -0.898031466852                   0.6439794 
 2453778.70846  -0.885444802197                   0.6449139 
 2453779.73322  -0.589013667581                   0.7928488 
  2453926.1166    1.62356726058                   0.5942587 
 2453927.10731   0.365208426421                   0.6177526 
 2453928.11521    2.47025411923                   0.7220489 
 2453933.08928   -1.42836056441                   0.6229451 
 2453959.14185 0.00253828137977                   0.5625976 
 2453961.12459   -1.42079056633                   0.6036408 
 2453962.12121   -2.19594099286                   0.5996003 
 2453969.11872   0.479435138526                   0.6164834 
 2453981.98458   -2.08251170362                   0.6019777 
 2453983.03322   -2.58327136178                   0.6315965 
 2453984.03302   -2.42260036023                    0.615818 
 2453984.98349   0.537919730846                   0.6047142 
 2454023.85959   -5.14859705672                   0.5582656 
 2454083.83875   0.730206143248                   0.4687609 
 2454084.79674   0.343185396515                    0.482448 
 2454085.91646    1.03120047566                   0.5059332 
 2454129.71098   0.152323183678                   0.4939915 
 2454130.80479   0.452973267042                   0.5111693 
 2454131.70631  -0.389979844583                    0.708803 
 2454138.71269   -4.13143964298                   0.5984295 
 2454343.98791   -2.56890813675                   0.6734689 
 2454396.79784   -2.07691966055                   0.6051773 
 2454397.81572    -1.1553780156                   0.6274597 
 2454398.87127   -5.12999251767                   0.6754138 
