\STAR_ID='HD 4628'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='89'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453933.05173'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456879.06036'
\MINIMUM_VALUE='-6.40868059899'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='8.17157475881'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2453933.05173  -3.22824572165                   0.6015067 
 2453984.97405 -0.905602358051                   0.6032314 
 2454083.82141  -0.57473919141                   0.6386714 
  2454138.7089  -1.17602981192                   0.6268423 
 2454337.10323    2.4465842583                   1.1357318 
 2454396.84242  0.643972149188                   1.1504242 
 2454397.89785 -0.982201775913                   1.0496098 
  2454644.1289  -4.70471877684                   1.0977999 
 2454688.99772 -0.887867502428                   1.0870059 
 2454690.06193  -1.39848203967                   1.1368062 
 2454717.94632  -3.71451110176                    1.188393 
  2454719.0019  0.732939571944                   0.7692124 
 2454720.00172  0.785844530963                      1.0979 
 2454720.96361   1.07309823701                   1.0362469 
 2454721.97904  -6.40868059899                   1.2323956 
 2454722.89188    2.1729784963                   1.2805462 
 2454723.96451   2.44174439648                    1.154888 
 2454724.96564  -4.40650925593                   1.1755263 
 2454725.88005  -5.57907222446                   1.2731682 
 2454727.00321  0.599743476836                   1.1780875 
 2454727.94912  -4.46468195181                   1.2117053 
 2454805.80822  -4.01264423695                   1.2250042 
   2454806.837  -3.65857566696                   1.3913393 
 2454807.81566 -0.465411606766                     1.30038 
 2454808.85785  -0.54915789886                   1.2252674 
 2455074.09213 -0.630683898854                   1.3071936 
 2455075.09944  0.559304946311                   1.2802844 
 2455076.06452   2.68097312681                   1.2082566 
 2455077.05453   0.26051538021                    1.107357 
  2455078.0793  -4.73805025271                   1.1258893 
 2455079.08173  -1.54133423745                   1.2053795 
 2455080.07891  -5.88619702371                   1.0815886 
 2455081.09012  -3.16441863015                    1.111557 
 2455082.04486  -1.76793067364                    1.073953 
 2455083.05112  -4.21405001838                   0.9718132 
 2455084.14179  -0.21389652156                   1.2056458 
 2455085.03954  0.545128253527                   1.1410908 
 2455111.91383   1.27506132372                   1.7014772 
  2455187.8535   -2.4083370779                   0.6670489 
 2455189.77667   2.53031148768                   0.6414217 
 2455190.83555 -0.517426956298                   0.7462701 
 2455193.69041 0.0921668923193                   0.6786479 
 2455196.73558  -2.71893529508                   0.6918827 
 2455197.78758  -4.74852080095                   0.7092895 
 2455198.79825  -3.30500918215                   0.7012793 
 2455229.70368  -4.65752800602                   0.6738759 
 2455231.71167  -3.94990326978                   0.7081344 
 2455250.70585  -1.60702477725                   1.0416787 
 2455251.70382    1.8394510598                   0.7260278 
   2455400.136  -2.24897889465                   1.0593592 
  2455434.0907   1.74106248449                   0.8282605 
 2455455.94594   1.78570976694                    0.657927 
  2455465.0368  -4.35067501897                   0.6783518 
 2455487.03033  -1.16051105428                   0.6545019 
 2455522.88439  -3.48351686501                   0.6964709 
 2455760.13621  -3.81129754097                   0.6333446 
 2455761.13754  -2.28388107857                   0.5920301 
 2455762.13508  -1.75624778974                   0.6387188 
 2455782.14486  -3.10207790949                   0.6428968 
 2455789.14713  -5.56852315841                   0.6660452 
 2455960.70275  -2.99386983734                   0.7937483 
 2456149.04239  -1.17975427756                   0.6005653 
 2456151.13967   -3.3269000089                   0.6693005 
 2456152.15256  -3.57492404606                   0.7763512 
 2456166.15319   1.66198333926                   0.6781689 
 2456193.12429 -0.890298043323                   0.6833817 
 2456202.97441  -0.74633240875                   0.7016723 
 2456319.70653  -1.30760622806                   0.6805239 
 2456343.71102  -2.17308465776                   1.2189555 
  2456507.1446  -0.59394862631                    0.671654 
 2456508.14046   1.25833248744                   0.6399184 
 2456513.12346  -1.21100451334                   0.6628549 
 2456514.13047 -0.423768343076                    0.665255 
 2456519.11479  -2.22207870879                   0.6962387 
 2456520.13687  -3.18151613228                   1.1516086 
  2456522.1404   1.41407803266                   1.0792335 
 2456523.14292  -2.57723960246                   1.1836991 
 2456524.14277    -1.251492931                   1.1633347 
 2456525.13136  -1.83804978525                    1.188138 
 2456526.15323 -0.373627982437                   1.1432978 
 2456530.06304  -3.61348322213                   1.3109537 
 2456531.12358   2.06668989923                   1.2169285 
 2456532.07153   4.76621553542                   1.1128199 
 2456533.09907   2.30064321999                   1.0962359 
 2456534.05532   8.17157475881                   1.2540194 
 2456548.09351    4.2718473624                   1.1225607 
 2456584.90465  -3.85272662778                   1.2694453 
 2456866.13779  -5.81564849877                   0.7000024 
 2456879.06036  0.493922901983                   1.1800668 
