\STAR_ID='HD 115617'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='103'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453369.16702'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456851.73691'
\MINIMUM_VALUE='-10.1395737781'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='5.64530830486'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2453369.16702  -3.55337185211                    0.681039 
 2453425.07713   3.15599913923                   0.5614705 
 2453479.95915  -2.46061530104                   0.4894698 
 2453546.78236   1.71760610818                   0.4642065 
  2453547.7672   2.17650711911                   0.3514006 
 2453548.80007  -3.17311506626                   0.3721839 
 2453549.80022  -1.81467607887                   0.3721457 
 2453550.82312  -1.44720013402                   0.3638568 
  2453551.8091  -3.53463142306                   0.4036669 
 2453570.78342  -5.30338418818                   0.4704834 
 2453576.75853   2.04078946603                   0.4342028 
 2453602.72515  0.259346631765                   0.5496706 
 2453747.16588  -4.09429003887                    0.678662 
 2453748.13746  -1.66313606289                   0.5263551 
 2453753.15869  -2.10651440126                   0.5058519 
 2453754.09133  -1.13624860772                   0.5525255 
 2453776.17015   1.54119397158                   0.5645438 
 2453777.08566 -0.438363903266                   0.5216035 
 2453806.94547  -3.85619279261                   0.6028423 
 2453926.74853   5.23081692451                   0.4765204 
 2453927.78287   0.47216305027                   0.4476443 
 2453931.82329  -0.91786556933                   0.4809789 
  2454131.1425  -10.1395737781                   0.6403007 
 2454246.81126  -1.91549708851                   0.6728716 
 2454247.94686  -2.17198835057                   0.7054538 
 2454248.81966  -3.55022697939                    0.939253 
 2454250.80828   2.39017062273                   1.0711023 
 2454251.81149   1.59015119689                   0.9933196 
 2454255.75939   5.64530830486                   0.7321866 
 2454277.73265  -1.93534958446                   0.5046043 
 2454278.73377  -4.37950810314                   0.8124136 
 2454279.73075  -2.37393321483                   0.8599111 
 2454280.74026  -1.59020462929                   0.9695136 
 2454285.76396  -5.49956375691                   0.6657726 
 2454294.73801  -3.55464169097                   0.5185434 
  2454304.7358   1.46651866156                   0.6518601 
 2454305.73743   2.23187512681                   0.6397954 
 2454306.79973   2.34765938789                   0.6116247 
 2454307.73525  -2.22243144562                   0.4872477 
 2454308.73554 -0.175296349623                   0.5949796 
 2454309.73851   2.21784229688                   0.7998946 
 2454310.73545   2.26381021871                   0.8789195 
 2454311.73296 -0.153180112584                   0.8205197 
 2454312.73426  -2.77581075875                   0.5180516 
 2454313.73496  -1.83020225652                   0.8825631 
 2454314.73608   -1.0438945309                   0.9015431 
 2454318.77309   2.91603098242                    0.429218 
 2454455.16774   -2.5831903896                   1.1849326 
 2454456.15784   2.41993354979                   1.0457187 
 2454545.03961  -3.82059630763                   1.0411766 
 2454546.03027   1.33022925796                   1.0294926 
 2454547.03936  -4.24177186005                   1.1021192 
 2454634.78181    1.1340180983                   0.9365829 
 2454667.78858  -3.19492889097                   0.3046013 
 2454671.80274  -3.39272584493                    0.300133 
 2454672.78664  -2.04997778627                   0.3037131 
  2454673.7972   -4.2530914092                   0.3134714 
 2454675.79407  -1.49960759555                   0.5317801 
 2454866.06739   2.25553467868                    1.212948 
 2455190.17063  -2.12439943686                   1.2316041 
 2455286.02142  -5.24447823004                   0.8279389 
 2455312.93927  -1.60405832061                   0.6124343 
 2455314.77648  -5.10409050933                   0.6343535 
 2455319.80041   -8.1950244919                   0.8317392 
 2455342.80905   2.63001187435                   0.5733323 
 2455343.77667   1.65266158368                   0.6287939 
 2455344.81639  -3.39412204067                   0.6323915 
 2455350.91067   1.65368736217                   0.5994357 
 2455379.73907  -2.68271566039                   0.5360628 
 2455402.73923  -0.50941139669                   0.9395993 
 2455606.04004   -3.2307310944                    0.661426 
 2455607.05473  0.608009857123                    0.622028 
