\STAR_ID='HD 48682'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='74'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2449680.9321'
\DATE_UNITS='days'
\MAXIMUM_DATE='2455846.96393'
\MINIMUM_VALUE='-37.8699989319'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='30.2600002289'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='3.0m Shane'
\INSTRUMENT='l: Hamilton Spectrograph post-dewar 16 (after November 1994)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Lick Observatory, California'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
  2449680.9321  -1.49000000954                        7.04 
 2449766.74699   16.0400009155                        3.05 
  2449767.7041   22.8600006104                   3.4300001 
 2449793.68359   -13.720000267                   2.6099999 
 2450013.96289   17.3899993896                   5.9099998 
 2450031.96953   12.9799995422                   2.8599999 
 2450046.94924   6.86999988556                        2.53 
 2450086.85938  -3.09999990463                   2.8099999 
 2450090.85644   6.11000013351                   2.4200001 
 2450091.80469             0.0                   2.8900001 
 2450121.84295   9.77000045776                        2.45 
 2450124.78583   12.4899997711                   2.5899999 
 2450125.71591   19.3199996948                        2.99 
 2450126.79173   30.2600002289                        3.01 
 2450127.81738   13.1199998856                        4.25 
 2450128.81999   17.8099994659                   2.5699999 
 2450441.89062   9.30000019073                   3.1199999 
 2450502.72754  -7.15000009537                        2.45 
 2450793.83984   13.7299995422                   2.8199999 
 2450794.86621   0.34999999404                   2.6700001 
 2451131.97461   12.0399999619                        3.78 
 2451152.94238   6.13999986649                        3.52 
 2451539.87012   11.3199996948                   3.1099999 
 2451909.93172  -2.33999991417                        2.54 
 2451915.86721   2.28999996185                        2.04 
 2452282.81055 -0.819999992847                   5.1399999 
 2452631.86164 -0.730000019073                        2.21 
 2452656.87859  -8.18000030518                        1.65 
 2452657.80341  -7.32999992371                         2.0 
 2452658.91059  -10.4399995804                        1.77 
 2452659.90933  -11.1300001144                        1.59 
 2452687.76077  -35.4599990845                   2.1800001 
 2453033.76172  -18.2399997711                   2.9000001 
 2453068.69629  -5.38000011444                        2.79 
 2453093.65306 -0.980000019073                        6.02 
 2453094.64591  -37.8699989319                  14.9700003 
 2453281.97656  -14.5699996948                         3.0 
 2453316.97885  0.230000004172                   2.4800003 
   2453337.875  -12.1000003815                   3.0700002 
 2453338.89062  -7.48999977112                         2.8 
 2453349.93593   16.3299999237                   2.7500002 
 2453363.94447  -5.90000009537                        2.74 
 2453383.83558   4.73000001907                   2.6099999 
 2453391.89778  -9.69999980927                   2.6099999 
 2453392.70452            -4.0                        2.73 
 2453402.79626  -8.38000011444                   2.3399999 
 2453404.82937  -2.84999990463                        2.27 
 2453405.80926  -9.56999969482                   2.8199999 
 2453437.68344  -6.21000003815                   2.3800001 
  2453438.6729  -1.90999996662                   2.4000001 
  2453439.6784   1.20000004768                   2.4000001 
 2453441.67945   6.55999994278                   2.3499999 
 2453461.66633   18.7999992371                   8.4499998 
 2453744.76243  -7.92999982834                   2.5599999 
 2453748.79006  -21.0100002289                   4.9699998 
 2453751.86579  -5.67999982834                   2.6099999 
 2453752.81428  -4.76999998093                   3.0899999 
  2453755.7248  -5.96000003815                   1.8599999 
 2453756.78132  -11.3599996567                   2.8099999 
 2453757.85586   2.19000005722                   3.0199997 
 2453989.02957   3.47000002861                   3.1500001 
 2454072.86505           -7.75                   2.9200001 
 2454073.83821  -9.46000003815                   2.6400003 
 2454099.90903  -13.4200000763                   2.0799999 
 2454103.84199  -19.9899997711                   2.5899999 
 2454133.79674  -16.4799995422                   2.8099999 
 2454165.70218  -10.5399999619                        2.78 
  2454171.6777   14.6800003052                   4.6300001 
 2454425.97245  -6.53999996185                        2.51 
  2454427.0169  -16.2600002289                        1.48 
 2454427.97518  -10.3900003433                        1.65 
  2454428.9958  -10.5200004578                        1.46 
 2454847.77898   2.43000006676                   2.3699999 
 2455846.96393   4.44999980927                   3.4900002 
