\STAR_ID                                  = "HD 83443"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "257"
\TIME_REFERENCE_FRAME                     = "BJD"
\MINIMUM_DATE                             = "2451262.6180"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2452717.6163"
\MINIMUM_VALUE                            = "28955.00"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "29098.00"
\REFERENCE                                = "Mayor et al. 2004 (A&A, 415, 391)"
\BIBCODE                                  = "2004A&A...415..391M"
\TELESCOPE                                = "1.2m Euler Swiss telescope"
\INSTRUMENT                               = "CORALIE"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Thorium Argon"
\OBSERVATORY_SITE                         = "ESO La Silla, Chile"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|          BJD | Radial_Velocity | Radial_Velocity_Uncertainty |
|       double |          double |                      double |
|         days |             m/s |                         m/s |
  2451961.7060          28971.00                          5.00
  2451962.7635          29078.00                          5.00
  2451963.7188          29061.00                          4.00
  2451964.7304          28969.00                          5.00
  2451968.7351          29073.00                          5.00
  2451969.7090          29041.00                          5.00
  2451970.7084          28970.00                          5.00
  2451971.6971          29063.00                          5.00
  2451972.6880          29052.00                          5.00
  2451973.7119          28966.00                          5.00
  2451975.6780          29055.00                          4.00
  2451979.6322          28982.00                          5.00
  2451980.6942          29072.00                          5.00
  2451981.7352          29032.00                          4.00
  2451981.7485          29035.00                          5.00
  2451982.7193          28968.00                          5.00
  2451982.7326          28971.00                          5.00
  2451983.7134          29067.00                          5.00
  2451983.7268          29051.00                          5.00
  2451985.6535          28956.00                          5.00
  2451985.6669          28975.00                          5.00
  2451988.6364          28961.00                          5.00
  2451991.7176          28982.00                         12.00
  2451992.6555          29068.00                          8.00
  2451993.6629          29045.00                          6.00
  2451994.6585          28966.00                          6.00
  2451995.6347          29065.00                          6.00
  2451996.7182          29042.00                          5.00
  2451997.6603          28973.00                          7.00
  2451998.6869          29069.00                          8.00
  2452001.6662          29066.00                          5.00
  2452005.7218          29041.00                          9.00
  2452048.5043          28968.00                          7.00
  2452048.5183          28975.00                          7.00
  2452051.5187          28986.00                          7.00
  2452051.5328          28984.00                          7.00
  2452053.5267          29022.00                          6.00
  2452053.5408          29012.00                          6.00
  2452074.4843          29033.00                          5.00
