\STAR_ID='HD 146233'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='79'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2453302.68676'
\DATE_UNITS='days'
\MAXIMUM_DATE='2456862.73696'
\MINIMUM_VALUE='-14.7211864759'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='10.0853794787'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='10m Keck I'
\INSTRUMENT='j: post-upgrade Keck HIRES (after August 19 2004)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Mauna Kea, Hawaii'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|  Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|           double|                     double|
|         days|            m / s|                      m / s|
|         null|             null|                       null|
 2453302.68676    -12.7887733063                   1.3540583 
 2453425.17564    -10.8316974633                   0.7110888 
 2453480.06438    -14.3655134634                   0.5912771 
 2453551.89006    -10.0075617301                   0.5718902 
 2453602.84319    -11.2640194065                   0.6657577 
 2453807.08222    -1.76052108342                   0.6940334 
 2453841.98839    -2.06720879587                   0.9078691 
 2453925.97325     2.02683171407                   0.6485249 
 2453926.83945   -0.358784554401                   0.6713244 
 2453927.87572 -0.00630756864841                   0.6002866 
 2453931.84569     3.61324537447                   0.6050746 
 2453932.77502    -1.39909075398                    0.611599 
 2453933.88147     1.41185762669                   0.6298659 
  2454130.1753     2.05276955033                   0.7541465 
 2454247.00808     4.03182301937                   0.9247806 
 2454247.98446     1.43428556451                   1.3156826 
 2454249.91325   -0.635341809898                   1.2781023 
 2454251.96225    -3.35217091179                   0.8853592 
 2454255.81872    -2.84335932853                   0.9453321 
 2454277.89822   -0.712366437939                   1.3641012 
  2454278.9546     -1.0568683253                   1.3196495 
 2454279.99676     2.83684542008                   1.2099181 
 2454285.94686     7.01731265903                    1.201123 
 2454294.96096    -6.30498566113                   1.1549581 
 2454304.80653   -0.493677323627                   0.7535125 
 2454304.92616     2.48923813338                   0.9094805 
 2454305.81584      0.3031718393                   0.7117192 
 2454305.93166   -0.773178695424                   0.7197749 
 2454306.85922    0.209101083565                   0.7607669 
 2454306.90642     3.43051645574                   1.0545377 
  2454307.8574     2.16756190975                   0.7229034 
 2454307.95432     2.60470621573                   0.8285373 
 2454308.84049     5.07305052351                   0.7407142 
 2454308.92985     9.97628561954                   0.7557769 
 2454309.86607     6.55262968106                   0.4827633 
 2454310.82146     6.47405593473                   0.7262047 
 2454310.91379     8.05045882694                   0.7472126 
 2454311.81577     9.33070048004                    0.716945 
 2454311.90051     10.0853794787                   0.7225779 
 2454312.81223     6.86356259026                   0.7378594 
 2454312.90851     9.19615532484                   0.8198364 
 2454313.82462    0.845982858574                   0.7413753 
 2454313.90676     2.05746668359                   0.7597793 
 2454314.84461    -4.12577126306                   0.7446637 
 2454314.93073     -2.5117824604                   0.7630273 
 2454335.76919    -1.06574909934                   0.7919193 
 2454339.74832    0.314044850736                   1.5463153 
 2454343.75616    -3.58959338804                    1.129841 
 2454545.12016    -3.26489184364                    1.305106 
 2454639.92062    -5.87211749621                   1.4116094 
 2454672.86339     3.25268737479                   0.9861879 
 2454722.72844    0.120358550673                   1.2231951 
 2454868.17098   -0.621966267548                   1.5667024 
 2454926.96525    -14.7211864759                     1.82398 
 2454928.08958    -11.5661195451                   1.4381543 
 2454929.11185     -5.2911382642                   1.3529694 
 2454929.97332    -5.74509672229                   1.5727466 
 2455014.83598    -5.18748771594                   1.3638346 
 2455041.87637    -6.03074659718                    1.177111 
 2455042.93176      -4.348706944                    1.413258 
 2455043.79655    -4.29541759509                    1.280118 
 2455048.75747   -0.399622330085                    1.223966 
  2455377.7978    -10.4788552846                   1.3115757 
 2455380.78505    -8.14115788897                     1.18344 
 2455404.82767    -7.04907608529                    1.076915 
   2455405.784    -9.31785596897                   1.1250237 
 2455407.78833    -10.4231688799                   1.1063621 
  2455471.7187    -3.97279772586                   0.6723282 
   2455486.693    -2.42785912192                   1.3143718 
 2455607.17175    -11.6853935943                   0.8295162 
 2455731.97412    -14.5951757523                   1.4442745 
 2455992.11683    -5.45637127111                   1.3745941 
 2456179.71381    -9.23899369486                   1.1928958 
 2456478.77827     1.02147345561                   1.3113314 
 2456547.71221    -3.90114883039                   1.4583629 
 2456709.08179     2.14483902883                   1.4188472 
 2456710.08148    0.645089000958                   1.3364273 
 2456860.86783    -5.61401395857                   1.4026784 
 2456862.73696    -8.46891558313                   1.1650547 
