\STAR_ID='HD 101501'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='69'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2449767.9422'
\DATE_UNITS='days'
\MAXIMUM_DATE='2455353.74117'
\MINIMUM_VALUE='-24.1100006104'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='38.7799987793'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='3.0m Shane'
\INSTRUMENT='l: Hamilton Spectrograph post-dewar 16 (after November 1994)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Lick Observatory, California'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|  Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|           double|                     double|
|         days|            m / s|                      m / s|
|         null|             null|                       null|
  2449767.9422     22.4200000763                   5.5900002 
 2450126.88951     10.8000001907                   3.3699999 
 2450127.95981     8.36999988556                   1.6700001 
 2450144.92773     7.57999992371                   2.1300001 
 2450150.84233    0.419999986887                        2.02 
 2450173.80035     7.84999990463                   1.9500002 
 2450181.81348    -2.94000005722                   2.1900001 
 2450186.78351     3.04999995232                   2.1900001 
 2450199.77337     6.55999994278                         1.9 
 2450231.74076     8.97999954224                        2.71 
 2450232.76216    -1.87999999523                        2.55 
 2450233.81367    -1.62999999523                   2.5899999 
 2450234.75794     2.93000006676                   2.4300001 
 2450235.75464     9.47999954224                   2.0599999 
 2450442.08691 -0.00999999977648                         2.0 
 2450502.91797              -9.0                        2.28 
 2450613.73242     13.0699996948                   1.8099998 
 2450640.71315    -5.51999998093                        1.76 
 2450655.67969    -4.05000019073                   2.1099999 
 2450794.01758     5.82000017166                        2.24 
 2450977.77328     14.3000001907                        2.28 
 2451175.08106     4.59999990463                        3.99 
 2451206.93199    -6.40000009537                        2.99 
 2451533.08008     8.69999980927                   3.1300004 
 2451536.09184     8.96000003815                   2.3199999 
 2451537.02539    -4.21999979019                   2.8599999 
 2451627.80566    -8.18999958038                   3.2499998 
 2451628.78516    -10.6599998474                   2.6600001 
 2451678.78711  -0.0900000035763                        2.95 
 2452042.71973     38.7799987793                        2.78 
 2452738.81469   -0.170000001788                         1.4 
 2452991.06152    -7.55999994278                        1.96 
 2453010.03613             -4.75                        1.97 
 2453019.04492    -24.1100006104                   3.4200001 
 2453068.86719    -7.13000011444                        2.74 
  2453102.7793    -16.3400001526                        1.99 
 2453107.79688    -8.02999973297                   2.3900001 
  2453119.8009    0.980000019073                        2.95 
 2453132.74023     16.2299995422                   2.6400003 
 2453363.02741    -10.2700004578                         2.3 
 2453363.97123    -9.46000003815                   2.3199999 
 2453385.03917    -5.84000015259                   1.9500002 
 2453386.03224     5.13999986649                        1.99 
 2453389.99325    -18.1599998474                   2.3199999 
 2453402.97589    -1.12999999523                   2.4200001 
 2453403.97105    -13.1499996185                        2.23 
 2453404.97977     1.72000002861                   2.1099999 
 2453406.00448    -16.8799991608                   2.1800001 
 2453437.90969             -8.75                        2.45 
 2453438.87427    -13.0500001907                        2.21 
 2453439.88742    -8.67000007629                   1.9399999 
 2453440.79462    -12.4600000381                   2.6099999 
 2453511.74935     0.72000002861                        1.99 
 2453512.70837    -1.85000002384                   2.0899999 
 2453523.69977     12.7100000381                        2.23 
 2453744.04315    -5.61000013351                   2.3499999 
 2453843.86909    -6.07999992371                        2.04 
 2454100.09139     1.22000002861                   2.1400001 
  2454103.0559   -0.289999991655                   2.3399999 
 2454104.05067     -10.529999733                   2.4100001 
 2454134.97847    -8.38000011444                   2.0599999 
 2454165.87021     3.40000009537                   2.3399999 
 2454220.83156    -2.16000008583                   2.1300001 
 2454640.71167    -9.38000011444                        2.23 
 2454649.70178    -14.0699996948                        2.28 
 2454650.71892    -11.5799999237                        2.27 
 2454864.01211     14.2399997711                   2.5699999 
 2455352.74478     16.9599990845                         2.3 
 2455353.74117     20.9899997711                   2.3399999 
