\STAR_ID='HD 115617'
\DATA_CATEGORY='Planet Radial Velocity Curve'
\NUMBER_OF_POINTS='95'
\TIME_REFERENCE_FRAME='HJD'
\MINIMUM_DATE='2449770.06972'
\DATE_UNITS='days'
\MAXIMUM_DATE='2455312.79184'
\MINIMUM_VALUE='-15.0881681442'
\VALUE_UNITS='m/s'
\MAXIMUM_VALUE='23.5900001526'
\REFERENCE='Howard & Fulton, 2016'
\BIBCODE='2016arXiv160603134H'
\TELESCOPE='3.0m Shane'
\INSTRUMENT='l: Hamilton Spectrograph post-dewar 16 (after November 1994)'
\WAVELENGTH_CALIBRATION_TECHNIQUE='Iodine'
\OBSERVATORY_SITE='Lick Observatory, California'
\COLUMN_RADIAL_VELOCITY='Relative radial velocity'
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY='Uncertainty in RADIAL_VELOCITY'
|          HJD|Radial_Velocity|Radial_Velocity_Uncertainty|
|       double|         double|                     double|
|         days|          m / s|                      m / s|
|         null|           null|                       null|
 2449770.06972   13.9592628479                    1.382093 
 2449793.92414  -1.63258039951                   1.4747907 
 2449881.74429   5.17415523529                   1.1101564 
 2450180.75586   6.23999977112                        2.02 
 2450201.78092   6.79937648773                    1.930246 
 2450502.96387   11.1700000763                   2.4100001 
  2450613.6875   11.0600004196                        2.46 
 2450794.05176   16.9200000763                        3.48 
 2450979.75879   6.98999977112                        3.23 
 2451005.70215  -2.73000001907                   3.4399998 
 2451206.97168   15.0200004578                        2.51 
 2451303.81543   13.6400003433                   2.5899999 
 2451305.75781    11.470000267                        2.72 
 2451533.08887   6.65999984741                        2.78 
 2451543.08301  0.920000016689                   2.9699998 
 2451544.09473   2.53999996185                   3.8199999 
 2451547.08789  -6.05999994278                   4.4099998 
 2451572.03906   2.25999999046                   4.0100002 
 2451627.87793   12.8299999237                   2.9100001 
 2451652.84375  -6.71999979019                   5.1300001 
 2451653.81543            -7.0                        3.22 
 2451654.81934  -4.42999982834                   3.9300003 
 2451655.84375   18.2900009155                   7.0999999 
 2451656.78711  -6.63000011444                   4.8699999 
 2451682.76269  -12.5900001526                   4.9499998 
 2451683.76856   21.6900005341                   3.9000003 
 2451684.79394 -0.289999991655                   3.9600003 
 2451685.81445   8.05000019073                   3.4399998 
  2451706.7334   23.5900001526                   3.7199998 
 2451896.10059   3.07999992371                        3.05 
 2451897.08301 -0.019999999553                   2.3499999 
 2451900.03027   7.80999994278                   3.1000001 
 2451902.07519   8.55000019073                        3.28 
 2451930.03613   5.80999994278                   4.0599999 
 2451932.01172   5.23000001907                         2.8 
 2451949.03711   2.07999992371                   4.4699998 
 2451990.87891  -11.8999996185                        3.45 
 2451991.87695  -4.94999980927                         3.7 
  2452011.8916   4.71000003815                   4.4099998 
 2452012.85254   7.94000005722                   3.7199998 
 2452013.85938  -2.27999997139                   3.1600001 
 2452014.81152   1.05999994278                   3.1900003 
 2452015.85156  -2.73000001907                   3.6800001 
 2452032.76758   15.6599998474                        2.99 
 2452042.76373   9.34254264832                   1.8136358 
 2452043.77441   7.76999998093                   2.6400003 
 2452044.77148   13.3599996567                   3.6500001 
  2452046.8125   13.1400003433                   3.3499997 
 2452047.78906   10.1199998856                         3.0 
 2452048.78809   16.1000003815                   3.1500001 
 2452307.91406   1.55999994278                   3.5000002 
 2452388.81074  -8.19838905334                   1.5802768 
 2452427.75456   15.8773975372                   2.5186017 
  2452428.7207  -8.85999965668                        2.21 
 2452705.96139  -3.73905825615                   1.7129942 
 2452722.94809  -4.27585840225                   2.0474164 
 2452737.84659 -0.320979773998                   1.5670179 
 2453069.87012  -14.7299995422                         2.2 
 2453080.88076  -12.9548892975                   1.6233963 
 2453119.88538  -4.17449951172                   2.6586609 
 2453131.77213   4.74476766586                   2.1652577 
 2453156.74512   5.80999994278                   2.4800003 
 2453361.08763   3.08999991417                        2.29 
 2453363.07289  -6.70885848999                   1.6131296 
 2453390.07675   2.07538604736                    1.565655 
 2453390.99686   2.47499990463                   1.5273507 
 2453392.04021   4.40082979202                   1.5391101 
 2453403.02383  -12.1599998474                   1.4778532 
 2453405.05758  -13.0760145187                   1.4810722 
 2453407.03905  -7.15999984741                   3.1000001 
 2453437.98283  -2.60044622421                   1.4072537 
 2453439.95345  -12.4262466431                   1.7888124 
 2453440.85519  -9.13747692108                   1.8522553 
  2453441.9492  -2.15885829926                   1.6722066 
 2453475.79325  -3.33658456802                   1.6114593 
 2453476.77007   -7.0162191391                   1.6194737 
 2453477.78677  -8.85561084747                   1.6439207 
 2453478.81637  -4.63346529007                   1.6815522 
 2453479.82688  -3.10166597366                   1.6784744 
 2453512.76587   14.1035795212                   1.6440085 
 2453523.75874  -1.09508526325                    1.650992 
 2453566.71034  -11.5799999237                   2.8699999 
  2453745.0704   -9.1506280899                   1.3712951 
 2453773.98519  -10.9605875015                   1.6968797 
  2453868.7603  -7.46000003815                   2.3599999 
 2454134.02557  -11.7314109802                   1.3893434 
  2454165.9626  -5.54468536377                   1.6297777 
 2454196.84806   1.66289353371                   1.6863496 
 2454219.83731  -1.30292391777                   1.5957628 
 2454255.80152   8.87189674377                   1.8963606 
 2454462.06084 0.0988776683807                   1.3967259 
 2454548.87287  -15.0881681442                   1.7328278 
  2454845.0559   16.7697238922                    1.724438 
 2455229.04458   4.57399463654                   2.4555848 
 2455312.79184    4.8640832901                    1.385713 
